Nombre,Variation_price
ACCIONA,8731.0
ACERINOX,204.0
ACS,44.0
AENA,14.0
AMADEUS,108.0
ARCELORMIT.,12910.0
BA.SABADELL,9132.0
BA.SANTANDER,40274.0
BANKIA,38.0
BANKINTER,82.0
BBVA,4464.0
CAIXABANK,44.0
CELLNEX,2710.0
CIE AUTOMOT.,2140.0
ENAGAS,59.0
ENCE,128.0
ENDESA,41.0
FERROVIAL,34.0
GRIFOLS CL.A,2091.0
IAG,4746.0
IBERDROLA,7417.0
INDITEX,32.0
INDRA A,150.0
INM.COLONIAL,170.0
MAPFRE,2392.0
MEDIASET,146.0
MELIA HOTELS,17.0
MERLIN,25.0
NATURGY,24.0
R.E.C.,200.0
REPSOL,13159.0
SIEMENS GAME,12716.0
TEC.REUNIDAS,2046.0
TELEFONICA,71.0
VISCOFAN,66.0
